Year,Topic,Count,Country,Category,Latitude,Longitude
2021,AI in Healthcare,459,US,Industry,37.0902,-95.7129
2021,Generative AI,291,US,Research,37.0902,-95.7129
2021,LLMs,74,US,Research,37.0902,-95.7129
2021,AI in Finance,426,US,Business,37.0902,-95.7129
2021,Robotics,56,US,Industry,37.0902,-95.7129
2021,Autonomous Vehicles,65,US,Industry,37.0902,-95.7129
2021,AI in Healthcare,456,UK,Industry,55.3781,-3.436
2021,Generative AI,425,UK,Research,55.3781,-3.436
2021,LLMs,80,UK,Research,55.3781,-3.436
2021,AI in Finance,279,UK,Business,55.3781,-3.436
2021,Robotics,167,UK,Industry,55.3781,-3.436
2021,Autonomous Vehicles,409,UK,Industry,55.3781,-3.436
2021,AI in Healthcare,468,Germany,Industry,51.1657,10.4515
2021,Generative AI,315,Germany,Research,51.1657,10.4515
2021,LLMs,269,Germany,Research,51.1657,10.4515
2021,AI in Finance,194,Germany,Business,51.1657,10.4515
2021,Robotics,51,Germany,Industry,51.1657,10.4515
2021,Autonomous Vehicles,296,Germany,Industry,51.1657,10.4515
2021,AI in Healthcare,108,France,Industry,46.6034,1.8883
2021,Generative AI,85,France,Research,46.6034,1.8883
2021,LLMs,492,France,Research,46.6034,1.8883
2021,AI in Finance,229,France,Business,46.6034,1.8883
2021,Robotics,188,France,Industry,46.6034,1.8883
2021,Autonomous Vehicles,128,France,Industry,46.6034,1.8883
2021,AI in Healthcare,376,India,Industry,20.5937,78.9629
2021,Generative AI,471,India,Research,20.5937,78.9629
2021,LLMs,374,India,Research,20.5937,78.9629
2021,AI in Finance,486,India,Business,20.5937,78.9629
2021,Robotics,159,India,Industry,20.5937,78.9629
2021,Autonomous Vehicles,318,India,Industry,20.5937,78.9629
2021,AI in Healthcare,303,China,Industry,35.8617,104.1954
2021,Generative AI,226,China,Research,35.8617,104.1954
2021,LLMs,387,China,Research,35.8617,104.1954
2021,AI in Finance,467,China,Business,35.8617,104.1954
2021,Robotics,124,China,Industry,35.8617,104.1954
2021,Autonomous Vehicles,397,China,Industry,35.8617,104.1954
2021,AI in Healthcare,181,Japan,Industry,36.2048,138.2529
2021,Generative AI,317,Japan,Research,36.2048,138.2529
2021,LLMs,236,Japan,Research,36.2048,138.2529
